stop_id,betweenness_centrality,stop_name,stop_lat,stop_lon
LTFRB_1140,0.14625431573322112,"North Luzon Expressway / Epifanio de los Santos Avenue Intersection, Caloocan City",14.6573,121.0
LTFRB_1139,0.1280341533804469,"North Luzon Expressway near Bonifacio Memorial Elementary School, Caloocan City",14.6591,121.0
LTFRB_2058,0.11049715582266566,"Boni Ave / Epifanio de los Santos Avenue Intersection, Mandaluyong City, Manila",14.5725,121.047
LTFRB_2057,0.11044260425065275,"Epifanio de los Santos Avenue, Mandaluyong City, Manila",14.5762,121.05
LTFRB_3034,0.10934525518962898,"Ortigas Ave / Dr Sixto Antonio Ave Intersection, Pasig City, Manila",14.5905,121.085
LTFRB_644,0.10308795975773058,"North Luzon Expressway, Caloocan City",14.7096,120.992
LTFRB_1056,0.10302991229051285,"Quirino Highway, Quezon City",14.6918,121.029
LTFRB_652,0.10274977999411831,"North Luzon Expressway, Valenzuela City",14.7111,120.991
LTFRB_653,0.10241172638560314,"North Luzon Expressway, Valenzuela City",14.7131,120.99
LTFRB_2055,0.102293572618405,"Epifanio de los Santos Avenue /  Shaw Blvd Intersection, Mandaluyong City, Manila",14.5811,121.054
LTFRB_1055,0.10212197405672122,"Quirino Highway, Quezon City",14.6932,121.03
LTFRB_748,0.10207379893218507,"North Luzon Expressway, Valenzuela City",14.7146,120.99
LTFRB_1054,0.10187315415355114,"Quirino Highway / Goodwill Homes 2 Intersection, Quezon City",14.695,121.031
LTFRB_654,0.10173595558216507,"North Luzon Expressway / M Gregorio, Valenzuela City",14.7161,120.989
LTFRB_1053,0.10162950660936196,"Quirino Highway / T. Carreon Intersection, Quezon City",14.6966,121.032
LTFRB_655,0.10139819633554312,"North Luzon Expressway, Valenzuela City",14.7178,120.988
LTFRB_1052,0.10139166219963913,"Quirino Highway / T. Urbano Intersection, Quezon City",14.699,121.034
LTFRB_656,0.10106056324401827,"North Luzon Expressway, Valenzuela City",14.7199,120.987
LTFRB_1051,0.10093569562703932,"Quirino Highway / Evangelista Intersection, Quezon City",14.7036,121.037
LTFRB_657,0.10072322451438664,North Luzon Expressway / Dulalia Intersection Valenzuela City,14.7224,120.985
LTFRB_1049,0.10071328419086109,"St John of Beverly, Quirino Highway, Quezon City",14.7058,121.038
LTFRB_1048,0.10049427894230444,"SM Cinema,Quirino Highway, Quezon City",14.7082,121.039
LTFRB_658,0.10038618014664824,"North Luzon Expressway near Arty Subdivision, Valenzuela City",14.7243,120.984
LTFRB_1047,0.10028019374253447,"Quirino Highway / Premiere Street Intersection, Quezon City",14.7101,121.039
LTFRB_1137,0.10010004187378414,"North Luzon Expressway, Caloocan City",14.6663,121.0
LTFRB_1046,0.10006972498888123,"Quirino Highway / Villaflor Intersection, Quezon City",14.7119,121.04
LTFRB_659,0.10004980860609433,"North Luzon Expressway, Valenzuela City",14.7263,120.983
LTFRB_1136,0.09977388889609493,"North Luzon Expressway, Caloocan City",14.6682,121.0
LTFRB_660,0.09971410989272494,"North Luzon Expressway, Valenzuela City",14.7291,120.982
LTFRB_1043,0.09944504699976656,"Novaliches Elementary School, Quirino Highway, Quezon City",14.7168,121.04
LTFRB_661,0.09937870554124877,"North Luzon Expressway, Valenzuela City",14.7311,120.981
LTFRB_1042,0.09930526715218546,"Quirino Highway, Quezon City",14.7185,121.04
LTFRB_662,0.09904355349996678,"North Luzon Expressway, Valenzuela City",14.7336,120.979
LTFRB_1133,0.09893066822711295,"North Luzon Expressway near Libis Baesa Exit, Caloocan City",14.6737,121.001
LTFRB_663,0.09870903223417027,"North Luzon Expressway, City of Meycauayan",14.7359,120.978
LTFRB_1132,0.09868104934166128,"North Luzon Expressway, Caloocan City",14.6758,121.001
LTFRB_1131,0.09843189302489895,"North Luzon Expressway near NLEX Complex, Caloocan City",14.6779,121.0
LTFRB_664,0.0983752258472573,"North Luzon Expressway, City of Meycauayan",14.7383,120.977
LTFRB_1992,0.09819733875674783,"Epifanio de los Santos Avenue, Makati City, Manila",14.5671,121.046
LTFRB_1130,0.09818328338022403,"North Luzon Expressway, Valenzuela City",14.6801,121.001
LTFRB_665,0.09804162971883948,"North Luzon Expressway, City of Meycauayan",14.74,120.976
LTFRB_1129,0.09793509425253942,"North Luzon Expressway, Valenzuela City",14.682,121.001
LTFRB_666,0.09770815974551876,"North Luzon Expressway, City of Meycauayan",14.7422,120.975
LTFRB_1128,0.09768724153844707,"North Luzon Expressway, Valenzuela City",14.6839,121.001
LTFRB_1127,0.09743956544149067,"North Luzon Expressway, Valenzuela City",14.6853,121.001
LTFRB_667,0.09739083762462618,"North Luzon Expressway, City of Meycauayan",14.7443,120.974
LTFRB_1126,0.09719470680836938,"North Luzon Expressway, Valenzuela City",14.6871,121.001
LTFRB_1125,0.09695282543553951,"North Luzon Expressway, Valenzuela City",14.6891,121.001
LTFRB_1122,0.09624059580904103,"North Luzon Expressway, Valenzuela City",14.6954,121.0
LTFRB_1121,0.09601221303160032,"North Luzon Expressway, Valenzuela City",14.6975,120.999
LTFRB_1119,0.09556167112817558,"North Luzon Expressway, Valenzuela City",14.7013,120.997
LTFRB_2160,0.09542596365851595,"Col. Bonny Serrano, Quezon City, Manila",14.6109,121.055
LTFRB_1118,0.09534068944976443,"North Luzon Expressway, Valenzuela City",14.7033,120.996
LTFRB_1117,0.09512382883785839,"North Luzon Expressway / Santiago Street Intersection, Valenzuela City",14.7049,120.995
LTFRB_643,0.09486583254717929,"Bagabaguin Road / North Luzon Expressway Intersection, Caloocan City",14.7085,120.993
LTFRB_4198,0.09365970961482527,"Epifanio de los Santos Av, Quezon City, Manila",14.6453,121.037
LTFRB_4199,0.09363886248503034,"MRT-3 Quezon Avenue Station EDSA,Quezon City, Manila",14.6438,121.038
LTFRB_2096,0.093347346918123,"Aurora Blvd / Epifanio de los Santos Avenue Intersection, Quezon City, Manila",14.6214,121.05
LTFRB_4205,0.0925294987154622,"MRT-3 GMA-Kamuning Station, EDSA, Quezon City, Manila",14.6351,121.043
LTFRB_4200,0.09242347586927874,"Epifanio de los Santos Av, Quezon City, Manila",14.6422,121.039
LTFRB_4201,0.09236595965792825,"Epifanio de los Santos Av, Quezon City, Manila",14.6407,121.04
LTFRB_4202,0.09233139316132426,"Epifanio de los Santos Av, Quezon City, Manila",14.6392,121.041
LTFRB_4204,0.09231486684360483,"Epifanio de los Santos Av, Quezon City, Manila",14.6366,121.043
LTFRB_4203,0.09230208312709923,"Epifanio de los Santos Av, Quezon City, Manila",14.6378,121.042
LTFRB_3201,0.09176171246788054,"Ortigas Ave, Pasig City, Manila",14.5901,121.082
LTFRB_1645,0.08864179867315748,"Taft Ave, Manila",14.5908,120.981
LTFRB_4407,0.08856327970352032,"Anapolis, San Juan, Manila",14.6062,121.057
LTFRB_2911,0.08841758819150884,"South Luzon Expressway, Makati City, Manila",14.5328,121.021
LTFRB_4219,0.08819882086275938,"Epifanio de los Santos Av, Quezon City, Manila",14.6094,121.056
LTFRB_4220,0.08805142642290748,"MRT-3 Santolan - Annapolis Station, EDSA, Epifanio de los Santos Av, Quezon City, Manila",14.6078,121.057
LTFRB_2909,0.08784669432545561,"South Luzon Expressway, Makati City, Manila",14.527,121.024
LTFRB_4236,0.08651018255303396,"MMDA EDSA Starmall- Shaw Bus Terminal Southbound, Mandaluyong City, Manila",14.5823,121.055
LTFRB_4226,0.08635417779829241,"Epifanio de los Santos Av, Mandaluyong City, Manila",14.598,121.06
LTFRB_4233,0.0863010894906776,"MRT-3 Ortigas Station, Epifanio de los Santos Av, Mandaluyong City, Manila",14.5877,121.057
LTFRB_4227,0.08628605404586118,"Epifanio de los Santos Av, Mandaluyong City, Manila",14.5964,121.06
LTFRB_4232,0.08625983677392758,"Epifanio de los Santos Av, Mandaluyong City, Manila",14.589,121.057
LTFRB_4231,0.08623532063339215,"Epifanio de los Santos Av, Mandaluyong City, Manila",14.5904,121.058
LTFRB_4230,0.08621816185811929,"MMDA EDSA-Robinsons Ortigas Bus Terminal Northbound, Epifanio de los Santos Av, Mandaluyong City, Ma",14.5919,121.058
LTFRB_4229,0.0862141344267307,"Epifanio de los Santos Av / Ortigas Av, Mandaluyong City, Manila",14.5934,121.059
LTFRB_1703,0.08519185679128013,"HP Village Square, Pablo Ocampo Sr., Manila",14.5602,120.99
LTFRB_4341,0.08511729137377795,"Balintawak Bus Terminal, Epifanio de los Santos Ave, Quezon City, Manila",14.6574,121.002
LTFRB_4974,0.08509237061959235,Ayala MRT,14.5492,121.028
LTFRB_4340,0.08493684753323327,"Balintawak LRT 1, Epifanio de los Santos Ave, Quezon City, Manila",14.6574,121.004
LTFRB_2907,0.08492323874967328,"South Luzon Expressway, Taguig City, Manila",14.5203,121.028
LTFRB_4339,0.0848352506283729,"Epifanio de los Santos Ave / Oliveros Dr, Quezon City, Manila",14.6575,121.007
LTFRB_4338,0.08475774934705763,"Epifanio de los Santos Ave, Quezon City, Manila",14.6574,121.009
LTFRB_4337,0.0847506846616203,"Kaingin Road Bus Terminal, EDSA, Epifanio de los Santos Ave, Quezon City",14.6575,121.011
LTFRB_2622,0.083557736074797,"South Luzon Expressway / Montillano St Intersection, Muntinlupa City, Manila",14.4194,121.046
